"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Proceedings Mathematical Sciences","Proceedings Mathematical Sciences","P E OF A",12044,"12044E","12044N","0253-4142","0973-7685","Springer India","E",1,120,5,"USD",260,"USD",312,35,,"Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Proceedings Steklov Institute Mathematics","Proceedings of the Steklov Institute of Mathematics","P E",11501,"11501E","11501N","0081-5438","1531-8605","MAIK Nauka/Interperiodica","E",4,"268-271",1,"USD",3239,"USD",3886.8,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Proceedings the Zoological Society","Proceedings of the Zoological Society","P E OF A",12595,"12595E","12595N","0373-5893","0974-6919","Springer India","E",1,63,2,"USD",165,"USD",198,14,"New in 2009","Take-over in 2009. ",
"Production Engineering Research","Production Engineering","P E OF",11740,"11740E","11740N","0944-6524","1863-7353","Springer Berlin Heidelberg","E",1,4,6,"USD",819,"USD",982.8,42,,"More content! ",
"Programming Computer Software","Programming and Computer Software","P E",11086,"11086E","11086N","0361-7688","1608-3261","MAIK Nauka/Interperiodica","E",1,36,6,"USD",2390,"USD",2868,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"ProMed Komplementär","ProMed Komplementär","P E",731,"731E","731N","1866-5756","1613-7582","Springer Wien","D",1,17,4,"USD",96,"USD",115.2,84,,,
"Prospects","Prospects","P E OF",11125,"11125E","11125N","0033-1538","1573-9090","Springer Netherlands","E",1,40,4,"USD",113,"USD",135.6,28,,,
"Protection Metals Physical Chemistry Surfaces","Protection of Metals and Physical Chemistry of Surfaces","P E",11124,"11124E","11124N","2070-2051","2070-206X","MAIK Nauka/Interperiodica","E",1,46,7,"USD",4289,"USD",5146.8,49,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Protein & Cell","Protein & Cell","P E",13238,"13238E","13238N","1674-800X","1674-8018","Higher Education Press, co-published with Springer","E",1,1,12,"USD",1180,"USD",1416,84,"New in 2010","New Start co-publication in 2010. Addendum Journals Price List. Chinese Library of Science. Exclusive distribution rights for print and electronic version outside Mainland China. ",
"Protein Journal","The Protein Journal","P E OF",10930,"10930E","10930N","1572-3887","1573-4943","Springer US","E",1,29,8,"USD",1422,"USD",1706.4,56,,,
"Protoplasma","Protoplasma","P E OF",709,"709E","709N","0033-183X","1615-6102","Springer Wien","E",1,247,4,"USD",2264,"USD",2716.8,28,,,
"PSN","PSN","P E OF",11836,"11836E","11836N","1639-8319","1955-2351","Springer Paris","F",1,8,4,"USD",224,"USD",268.8,28,,,
"Psychiatric Quarterly","Psychiatric Quarterly","P E OF",11126,"11126E","11126N","0033-2720","1573-6709","Springer US","E",1,81,4,"USD",973,"USD",1167.6,28,,,
"Psychiatrie Psychotherapie","Psychiatrie und Psychotherapie","P E",11326,"11326E","11326N","1614-7189","1864-581X","Springer Wien","D",1,6,4,"USD",119,"USD",142.8,40,,,
"Psychological Injury Law","Psychological Injury and Law","P E OF A",12207,"12207E","12207N","1938-971X","1938-9728","Springer US","E",1,3,4,"USD",494,"USD",592.8,28,,,
"Psychological Research Psychologische Forschung","Psychological Research","P E",426,"426E","426N","0340-0727","1430-2772","Springer Berlin Heidelberg","E",1,74,6,"USD",1382,"USD",1658.4,60,,,
"Psychological Studies","Psychological Studies","P E OF",12646,"12646E","12646N","0033-2968","0974-9861","Springer India","E",1,55,4,"USD",215,"USD",258,28,"New in 2009","Take-over in 2009. ",
"Psychologie en Gezondheid","Psychologie & gezondheid","P E",12483,"12483E","12483N","1873-1791","1876-8741","Bohn Stafleu van Loghum","NL",1,2010,5,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Psychometrika","Psychometrika","P E OF",11336,"11336E","11336N","0033-3123","1860-0980","Springer New York","E",1,75,4,"USD",277,"USD",332.4,28,,,
"Psycho-Oncologie","Psycho-Oncologie","P E OF",11839,"11839E","11839N","1778-3798","1778-381X","Springer Paris","F",1,4,4,"USD",222,"USD",266.4,28,,,
"Psychopharmacology","Psychopharmacology","P E OF",213,"213E","213N","0033-3158","1432-2072","Springer Berlin Heidelberg","E",6,"207-212",4,"USD",8070,"USD",9684,240,,,
"Psychopraxis","Psychopraxis","P E",12484,"12484E","12484N","1566-6166","1876-584X","Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Psychopraxis","Psychopraxis","P E",739,"739E","739N","1434-1883","1613-7590","Springer Wien","D",1,13,6,"USD",85,"USD",102,60,,,
"Psychotherapeut a","Psychotherapeut","P E OF",278,"278E","278N","0935-6185","1432-2080","Springer Berlin Heidelberg","D",1,55,6,"USD",239,"USD",286.8,60,,"See also combined subscription Psychotherapeut / Forum der Psychoanalyse. ",
"Psychotherapeut d","Psychotherapeut / Forum der Psychoanalyse","P E OF",461,"461E","461N",,,"Springer Berlin Heidelberg","D",,,,"USD",405,"USD",486,100,,"Existing title. New to Springer Journals Price List. Combined subscription. ",
"Psychotherapie","Tijdschrift voor Psychotherapie","P E",12485,"12485E","12485N","0165-1188","1876-5637","Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Psychotherapie Forum","Psychotherapie Forum","P E",729,"729E","729N","0943-1950","1613-7604","Springer Wien","D",1,18,4,"USD",90,"USD",108,40,,,
"Public Choice","Public Choice","P E OF",11127,"11127E","11127N","0048-5829","1573-7101","Springer US","E",4,"142-145",4,"USD",1904,"USD",2284.8,112,,"More content! ",
"Public International Law","Public International Law","P",260,"260E","260N","0340-7349",,"Springer Berlin Heidelberg","E",1,36,2,"USD",224,,,20,,"No electronic version available. ",
"Public Organization Review","Public Organization Review","P E OF",11115,"11115E","11115N","1566-7170","1573-7098","Springer US","E",1,10,4,"USD",439,"USD",526.8,28,,,
"Public Transport","Public Transport","P E OF",12469,"12469E","12469N","1866-749X","1613-7159","Springer Berlin Heidelberg","E",1,2,4,"USD",395,"USD",474,28,"New in 2009","New start in 2009. ",
"Publications Mathématiques","Publications Mathématiques de l'Institut des Hautes Études Scientifiques","P E",10240,"10240E","10240N","0073-8301","1618-1913","Springer Berlin Heidelberg","E",2,"111+112",1,"USD",556,"USD",556,20,,,
"Publishing Research Quarterly","Publishing Research Quarterly","P E OF",12109,"12109E","12109N","1053-8801","1936-4792","Springer US","E",1,26,4,"USD",348,"USD",417.6,40,,,
"Publizistik","Publizistik","E",11616,"11616E","11616N","0033-4006","1862-2569","VS Verlag für Sozialwissenschaften / GWV Fachverlage GmbH","D",1,55,4,"USD",296,,,,,"SpringerLink licensing permitted. Print and online subscriptions processed by VS Verlag für Sozialwissenschaften. Only available in electronic format. ",
"pure applied geophysics PAGEOPH","pure and applied geophysics","P E OF",24,"024E","024N","0033-4553","1420-9136","Birkhäuser Verlag Basel","E",1,167,12,"USD",3696,"USD",4435.2,124,,"Change of Title No. Former Title No: 47, new Title No as of 2010: 24. ",
"Purinergic Signalling","Purinergic Signalling","P E OF",11302,"11302E","11302N","1573-9538","1573-9546","Springer Netherlands","E",1,6,4,"USD",362,"USD",434.4,28,,,
"QME Quantitative Marketing Economics","QME Quantitative Marketing and Economics","P E OF",11129,"11129E","11129N","1570-7156","1573-711X","Springer US","E",1,8,4,"USD",414,"USD",496.8,28,,,
"Qualitative Sociology","Qualitative Sociology","P E OF",11133,"11133E","11133N","0162-0436","1573-7837","Springer US","E",1,33,4,"USD",1071,"USD",1285.2,28,,,
"Qualitative Theory Dynamical Systems","Qualitative Theory of Dynamical Systems","P E OF",12346,"12346E","12346N","1575-5460","1662-3592","Birkhäuser Verlag Basel","E",1,9,2,"USD",279,"USD",334.8,14,,,
"Quality Life Research","Quality of Life Research","P E OF",11136,"11136E","11136N","0962-9343","1573-2649","Springer Netherlands","E",1,19,10,"USD",2280,"USD",2736,70,,,
"Quality Quantity","Quality & Quantity","P E OF",11135,"11135E","11135N","0033-5177","1573-7845","Springer Netherlands","E",1,44,6,"USD",984,"USD",1180.8,42,,"More content! ",
"Quantum Information Processing","Quantum Information Processing","P E OF",11128,"11128E","11128N","1570-0755","1573-1332","Springer US","E",1,9,6,"USD",384,"USD",460.8,42,,,
"Quarterly Journal Austrian Economics","The Quarterly Journal of Austrian Economics","P E OF",12113,"12113E","12113N","1098-3708","1936-4806","Springer New York","E",,,,,,,,,"No longer published/distributed by Springer","Erratum Journals Price List. No longer published/distributed by Springer after completion of Volume 11 (2008). ",
"Queueing Systems","Queueing Systems","P E OF",11134,"11134E","11134N","0257-0130","1572-9443","Springer US","E",3,"64-66",4,"USD",1672,"USD",2006.4,84,,,
"Race and Social Problems","Race and Social Problems","P E OF",12552,"12552E","12552N","1867-1748","1867-1756","Springer US","E",1,2,4,"USD",369,"USD",442.8,28,"New in 2009","New start in 2009. ",
"Radiation Environmental Biophysics","Radiation and Environmental Biophysics","P E OF S",411,"411E","411N","0301-634X","1432-2099","Springer Berlin Heidelberg","E",1,49,4,"USD",2175,"USD",2610,40,,"More content! ",
"Radiochemistry","Radiochemistry","P E",11137,"11137E","11137N","1066-3622","1608-3288","MAIK Nauka/Interperiodica","E",1,52,6,"USD",4541,"USD",5449.2,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Radioelectronics Communications Systems","Radioelectronics and Communications Systems","P E ",11976,"11976E","11976N","0735-2727","1934-8061","Allerton Press","E",1,53,12,"USD",3170,"USD",3804,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Radiologe","Der Radiologe","P E",117,"117E","117N","0033-832X","1432-2102","Springer Berlin Heidelberg","D",1,50,12,"USD",641,"USD",769.2,120,,,
"Radiologia Medica","La Radiologia Medica","P E OF",11547,"11547E","11547N","0033-8362","1826-6983","Springer Milan","It/E",1,115,8,"USD",625,"USD",750,56,,"More content! ",
"Radiological Physics Technology","Radiological Physics and Technology","P E OF ",12194,"12194E","12194N","1865-0333","1865-0341","Springer Japan","E",1,3,2,"USD",173,"USD",207.6,14,,,
"Radiophysics Quantum Electronics","Radiophysics and Quantum Electronics","P E",11141,"11141E","11141N","0033-8443","1573-9120","Springer US","E",1,53,12,"USD",4277,"USD",5132.4,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Ramanujan Journal, The","The Ramanujan Journal","P E OF",11139,"11139E","11139N","1382-4090","1572-9303","Springer US","E",3,"21-23",3,"USD",530,"USD",636,63,,,
"Rare Metals","Rare Metals","P E",12598,"12598E","12598N","1001-0521","1867-7185","Publishing Center of University of Science and Technology Beijing, co-published with Springer","E",1,29,6,"USD",766,"USD",919.2,42,"New in 2009","Take-Over Co-Publication in 2009. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Raumforschung Raumordnung","Raumforschung und Raumordnung","P E OF",13147,"13147E","13147N","0034-0111","1869-4179","Springer Berlin Heidelberg","D",1,68,6,"USD",390,"USD",468,42,"New in 2010","Take-over in 2010. Former publisher: Carl Heymanns Verlag. Addendum Journals Price List. ",
"Reaction Kinetics Catalysis Letters","Reaction Kinetics and Catalysis Letters","P E OF","no existing title no",,,"0133-1736","1588-2837","Springer Netherlands","E",,,,,,,,,"Title Change","Title change: As of Volume 99 (2010) published as Reaction Kinetics, Mechanisms and Catalysis. ",
"Reaction Kinetics Mechanisms Catalysis","Reaction Kinetics, Mechanisms and Catalysis","P E OF",11144,"11144E","11144N","1878-5190","1878-5204","Springer Netherlands","E",3,"99-101",2,"USD",2955,"USD",3546,42,"Title Change","Title change: Prior to Volume 99 (2010) published as Reaction Kinetics and Catalysis Letters. No sales rights in Hungary. More content! ",
"Reading Writing","Reading and Writing","P E OF",11145,"11145E","11145N","0922-4777","1573-0905","Springer Netherlands","E",1,23,9,"USD",947,"USD",1136.4,63,,,
"Real-Time Systems","Real-Time Systems","P E OF",11241,"11241E","11241N","0922-6443","1573-1383","Springer US","E",3,"44-46",3,"USD",1171,"USD",1405.2,63,,,
"Rechtsmedizin a","Rechtsmedizin","P E OF",194,"194E","194N","0937-9819","1434-5196","Springer Berlin Heidelberg","D",1,20,6,"USD",507,"USD",608.4,60,,"See also combined subscription Rechtsmedizin / International Journal of Legal Medicine. More content! ",
"Rechtsmedizin b","Rechtsmedizin / International Journal of Legal Medicine","P E OF",576,"576E","576N",,,"Springer Berlin Heidelberg","E/D",,,,"USD",2152,"USD",2582.4,84,,"Existing title. New to Springer Journals Price List. Combined subscription. ",
"Reflexzone","Reflexzone","P",12486,"12486E","12486N","1380-3174",,"Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Refractories Industrial Ceramics","Refractories and Industrial Ceramics","P E",11148,"11148E","11148N","1083-4877","1573-9139","Springer US","E",1,51,6,"USD",4196,"USD",5035.2,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Regional Environmental Change
Natural Social Aspects","Regional Environmental Change","P E OF",10113,"10113E","10113N","1436-3798","1436-378X","Springer Berlin Heidelberg","E",1,10,4,"USD",327,"USD",392.4,40,,,
"Regular Chaotic Dynamics","Regular and Chaotic Dynamics","P E OF",11819,"11819E","11819N","1560-3547","1468-4845","MAIK Nauka/Interperiodica","E",1,15,6,"USD",1733,"USD",2079.6,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Rendiconti Circolo Matematico di Palermo","Rendiconti del Circolo Matematico di Palermo","P E",12215,"12215E","12215N","0009-725X","1973-4409","Springer Milan","E",1,59,3,"USD",133,"USD",159.6,21,,,
"Rendiconti Lincei","Rendiconti Lincei","P E OF",12210,"12210E","12210N","1120-6349","1720-0776","Springer Milan","E",1,21,4,"USD",68,"USD",81.6,28,,,
"Reproductive Medicine Biology","Reproductive Medicine and Biology","P E OF S",12522,"12522E","12522N","1445-5781","1447-0578","Springer Japan","E",1,9,4,"USD",420,"USD",504,28,"New in 2009","Take-over in 2009. More content! ",
"Requirements Engineering","Requirements Engineering","P E OF",766,"766E","766N","0947-3602","1432-010X","Springer London","E",1,15,4,"USD",599,"USD",718.8,40,,,
"Res Publica","Res Publica","P E OF",11158,"11158E","11158N","1356-4765","1572-8692","Springer Netherlands","E",1,16,4,"USD",373,"USD",447.6,28,,,
"Research Chemical Intermediates","Research on Chemical Intermediates","P E OF",11164,"11164E","11164N","0922-6168","1568-5675","Springer Netherlands","E",1,36,9,"USD",1539,"USD",1846.8,63,"New in 2009","Take-over in 2009. ",
"Research Engineering Design","Research in Engineering Design","P E OF",163,"163E","163N","0934-9839","1435-6066","Springer London","E",1,21,4,"USD",570,"USD",684,40,,,
"Research Higher Education","Research in Higher Education","P E OF",11162,"11162E","11162N","0361-0365","1573-188X","Springer Netherlands","E",1,51,8,"USD",1217,"USD",1460.4,56,,,
"Research Language Computation","Research on Language and Computation","P E OF",11168,"11168E","11168N","1570-7075","1572-8706","Springer Netherlands","E",1,8,4,"USD",500,"USD",600,28,,,
"Research Science Education","Research in Science Education","P E OF",11165,"11165E","11165N","0157-244X","1573-1898","Springer Netherlands","E",1,40,5,"USD",319,"USD",382.8,35,,,
"Resonance","Resonance","P E OF A",12045,"12045E","12045N","0971-8044","0973-712X","Springer India","E",1,15,12,"USD",210,"USD",252,84,,"Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Results Mathematics","Results in Mathematics","P E OF",25,"025E","025N","1422-6383","1420-9012","Birkhäuser Verlag Basel","E",2,"57+58",4,"USD",1323,"USD",1587.6,76,,,
"Reumatologen vademecum","Reumatologen vademecum","P",12487,"12487E","12487N","1389-2681",,"Bohn Stafleu van Loghum","NL",1,2010,20,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
